opp_id,opp_name,opp_site_name,opp_state,opp_city,opp_address,opp_stage,rank,score,confidence,st_name,st_site_name,st_monday_name,st_state,st_city,st_site_status,st_already_linked_to,breakdown
006WR00000xvYe6YAE,Omaha_MDU_4484 Redman Ave,Omaha_MDU_4484 Redman Ave,NE,Omaha,4484 REDMAN AVE UNIT A OMAHA NE 68111,PAL/ROE Complete,2,5,,P-006738,Omaha_MDU_Bristol Square Apts,Bristol Square Apts,NE,Omaha,Future,Bristol Square Apartments,state+1; city_exact+3; nametoks['omaha']+1
006WR00000xvYe6YAE,Omaha_MDU_4484 Redman Ave,Omaha_MDU_4484 Redman Ave,NE,Omaha,4484 REDMAN AVE UNIT A OMAHA NE 68111,PAL/ROE Complete,3,5,,P-005791,Omaha_MDU_6303 Taylor Cir,6303 Taylor Circle,NE,Omaha,In Service,Omaha_MDU_6303 Taylor Cir,state+1; city_exact+3; nametoks['omaha']+1
006WR00000xw41GYAQ,Bridgeport_SA01_FDH08_PA01,BRIDGEPORT_SA01_FDH08_PA01,TX,BRIDGEPORT,400 TURKEY CREEK TRL UNIT A BRIDGEPORT TX 76426,PAL/ROE Complete,1,5,medium,P-003501,Bridgeport_MDU_Henderson Terrace,Henderson Terrace,TX,Bridgeport,In Service,Henderson Terrace Apartments,state+1; city_exact+3; nametoks['bridgeport']+1
006WR00000xw41GYAQ,Bridgeport_SA01_FDH08_PA01,BRIDGEPORT_SA01_FDH08_PA01,TX,BRIDGEPORT,400 TURKEY CREEK TRL UNIT A BRIDGEPORT TX 76426,PAL/ROE Complete,2,5,,P-006748,Bridgeport_MDU_Creekside Apartments,Creekside Apartments,TX,Bridgeport,Future,Creekside Apartments,state+1; city_exact+3; nametoks['bridgeport']+1
006WR00000xw41GYAQ,Bridgeport_SA01_FDH08_PA01,BRIDGEPORT_SA01_FDH08_PA01,TX,BRIDGEPORT,400 TURKEY CREEK TRL UNIT A BRIDGEPORT TX 76426,PAL/ROE Complete,3,4,,P-004312,Feeder_MDU_Henderson Terrace,Feeder_MDU_Henderson Terrace,TX,Bridgeport,Under Construction,Henderson Terrace Apartments,state+1; city_exact+3
006WR00000xwCd8YAE,Omaha_MDU_5006 Davenport St,Omaha_MDU_5006 Davenport St,NE,Omaha,5004 DAVENPORT ST UNIT 1 OMAHA NE 68132,PAL/ROE Complete,1,10,high,P-006131,Omaha_MDU_5004 Davenport St,5004 Davenport St,NE,Omaha,Future,Omaha_MDU_5004 Davenport St,"state+1; city_exact+3; streetnum{'5004'}+3; nametoks['5004', 'davenport', 'omaha']+3"
006WR00000xwCd8YAE,Omaha_MDU_5006 Davenport St,Omaha_MDU_5006 Davenport St,NE,Omaha,5004 DAVENPORT ST UNIT 1 OMAHA NE 68132,PAL/ROE Complete,2,5,,P-006738,Omaha_MDU_Bristol Square Apts,Bristol Square Apts,NE,Omaha,Future,Bristol Square Apartments,state+1; city_exact+3; nametoks['omaha']+1
006WR00000xwCd8YAE,Omaha_MDU_5006 Davenport St,Omaha_MDU_5006 Davenport St,NE,Omaha,5004 DAVENPORT ST UNIT 1 OMAHA NE 68132,PAL/ROE Complete,3,5,,P-005791,Omaha_MDU_6303 Taylor Cir,6303 Taylor Circle,NE,Omaha,In Service,Omaha_MDU_6303 Taylor Cir,state+1; city_exact+3; nametoks['omaha']+1
006WR00000xwF9ZYAU,Omaha_MDU_Arbor Creek Apartments,Omaha_MDU_Arbor Creek Apartments,NE,Omaha,345 S 78TH ST UNIT 1 OMAHA NE 68114,PAL/ROE Complete,1,6,medium,P-006773,Omaha_MDU_78th Street Apartments,78th Street Apartments,NE,Omaha,Future,78th Place Apartments,"state+1; city_exact+3; nametoks['78th', 'omaha']+2"
006WR00000xwF9ZYAU,Omaha_MDU_Arbor Creek Apartments,Omaha_MDU_Arbor Creek Apartments,NE,Omaha,345 S 78TH ST UNIT 1 OMAHA NE 68114,PAL/ROE Complete,2,5,,P-006738,Omaha_MDU_Bristol Square Apts,Bristol Square Apts,NE,Omaha,Future,Bristol Square Apartments,state+1; city_exact+3; nametoks['omaha']+1
