SF_Id,Name,Action,Field,Before,After,Source,Result,Timestamp
006WR00000wkEalYAE,The Banyans,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:58.576303
006WR00000wkEalYAE,The Banyans,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:58.928215
006WR00000wkEamYAE,Topanga Apartments,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:59.337464
006WR00000wkEamYAE,Topanga Apartments,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:59.751434
006WR00000wkEanYAE,Topanga Terrace,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:48:00.225101
006WR00000wkEanYAE,Topanga Terrace,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:48:00.582894
006WR00000wkEaoYAE,Vista Apartments,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:48:00.982999
006WR00000wkEaoYAE,Vista Apartments,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:48:01.389614
006WR00000wkEapYAE,The Palms,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:48:01.969424
006WR00000wkEapYAE,The Palms,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:48:02.334181
006WR00000wkEbIYAU,First Casa De Marina,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:48:02.707251
006WR00000wkEbIYAU,First Casa De Marina,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:48:03.033131
006WR00000wkEbJYAU,Lombardi Apartments,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:48:03.502699
006WR00000wkEbJYAU,Lombardi Apartments,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:48:03.794398
006WR00000wkEbKYAU,The Meadows at Westlake Village,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:48:04.192431
006WR00000wkEbKYAU,The Meadows at Westlake Village,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:48:04.555084
006WR00000wkEbLYAU,Brookside Terrace Apartments,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:48:04.944278
006WR00000wkEbLYAU,Brookside Terrace Apartments,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:48:05.306620
