Id,Name,Next_Action__c,result,detail
006WR00000wkDtEYAU,Killeen_MDU_408-420 E Hallmark Ave,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wk9T9YAI,Killeen_MDU_512 W Green Ave_Morris RE,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkCjPYAU,Century Plaza,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkDtIYAU,John Wesley Arms,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkDtJYAU,Las Palmas,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkDtAYAU,Marlboro_Heights_Mobile Home_Park,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkDtDYAU,Nolan Creek Mobile Park,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wk9T8YAI,Quail Hollow Apts_Morris RE,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkA9KYAU,River Oaks Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wk9T6YAI,Terrace Villa_Morris RE,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkC7xYAE,Chateau West Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkA90YAE,Villa Del Rey _ FF Freddy,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wk9T7YAI,Village West Apartments_Morris RE,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkABsYAM,Heritage Manor,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkDM6YAM,Sandstone Foothills Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkCjQYAU,Southridge Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkDMAYA2,The Peaks Townhomes,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkDtOYAU,OMAHA_MDU_58TH_Plaza_CIR,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkArrYAE,Astoria Senior Living,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wj8KcYAI,Camelot Village,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkA8pYAE,Caravelle Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkDtNYAU,Omaha_MDU_Cherry Tree Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkA8tYAE,Corby Castle Apts,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkDMEYA2,Corby Street Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkA8vYAE,Coronado Condominiums,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkA8wYAE,Cypress Pointe II Apartment Complex,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkA6VYAU,Dundee View,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wj8KLYAY,Juniper Gardens,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkA8gYAE,Hillside Park Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkCjqYAE,Hillside Rows Apts,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkA8rYAE,Laurel Hill Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkC73YAE,Loveland by Broadmoor,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkBTzYAM,Luma Lane Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkA8FYAU,Maplewood Court Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkCkZYAU,New Towne West Apts,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkA8eYAE,Park Crest,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wj8KeYAI,Peony Village,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wj8KsYAI,Pine Tree Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wj8KIYAY,Prairie Spring Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wiNoNYAU,Sorensen Heights,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wj8KXYAY,Residences at Sorensen Square,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkCkeYAE,Swanson Towers Condominiums,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wjnlaYAA,The Colonial Apartments Broadmoor,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wj8KaYAI,The Village at Grant Square,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkCkrYAE,Town And Country RV Park,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkCjsYAE,Vaughan Manor Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkCjDYAU,Villa Vinee Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
