SF_Id,Name,Object,Field,Before,After,Source,Timestamp,Action
006WR00000wkEaLYAU,The Royce,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaMYAU,Aloha Wey Apartments,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaNYAU,Jem-Wey Apartments,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaOYAU,Regents Park Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaPYAU,Lake Meadows Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaQYAU,Woodland Trio The Oaks,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaRYAU,Baldwin Manor,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaSYAU,White Oak Terrace,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaTYAU,Bali Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaUYAU,Corbett Avenue Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaVYAU,Chatsworth Plaza,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaWYAU,John Manor,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaXYAU,Casa Linda,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaYYAU,Windsor Manor,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaZYAU,Coliseum Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaaYAE,Colonial Manor Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEabYAE,San Vicente Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEacYAE,St. Andrews Manor,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEadYAE,Krystal Terrace,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaeYAE,Parkway Terrace,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEafYAE,Kling Trio Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEagYAE,Jaclyn Terrace,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEahYAE,Brody Terrace (Riverside),Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEaiYAE,Parkview Terrace,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEajYAE,Roxanne Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEakYAE,Riverside Villa Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkEalYAE,The Banyans,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
