Id,Name,Agreement_Name__c,field,old_value,new_value
006WR00000wkDtkYAE,Maple Place Apartments,Omaha_MDU_Maple Place Apts,OwnerId,Unassigned MDU,005WR0000030R9lYAE
006WR00000wiNonYAE,Wyndham Villas - Broadmoor,Omaha_MDU_Wyndham Villas by Broadmoor,OwnerId,Bill Holick,005WR0000030R9lYAE
006WR00000wkFc0YAE,OMAHA_MDU_London Square Apartments,OMAHA_MDU_London Square Apartments,OwnerId,Jeff Chao,005WR0000030R9lYAE
006WR00000wjnlZYAQ,Bentley By Broadmoor,Omaha_MDU_Bentley by Broadmoor,Loss_Reason__c,Existing Contract,Lost to Competitor
006WR00000wjnlZYAQ,Bentley By Broadmoor,Omaha_MDU_Bentley by Broadmoor,OwnerId,Bill Holick,005WR0000030R9lYAE
006WR00000wj8KaYAI,The Village at Grant Square,Omaha_MDU_The Village at Grant Square Apartments,OwnerId,Bill Holick,005WR0000030R9lYAE
006WR00000wkFbzYAE,The Arthur Apartments,Omaha_MDU_The Arthur Apt,Loss_Reason__c,Existing Fiber,
006WR00000wkFbzYAE,The Arthur Apartments,Omaha_MDU_The Arthur Apt,OwnerId,Bill Holick,005WR0000030R9lYAE
006WR00000xvCKIYA2,Omaha_MDU_Ambassador Apartments,OMAHA_MDU_AMBASSADOR APARTMENTS,StageName,Closed Lost,Prospects
006WR00000xvCKIYA2,Omaha_MDU_Ambassador Apartments,OMAHA_MDU_AMBASSADOR APARTMENTS,Loss_Reason__c,Not Interested,
006WR00000wkDtiYAE,Villa Rouge,Omaha_MDU_4903-4905 California St,StageName,Closed Lost,Prospects
006WR00000wkDtiYAE,Villa Rouge,Omaha_MDU_4903-4905 California St,Loss_Reason__c,Not Interested,
006WR00000xwEwfYAE,OMAHA_MDU_1410 N 45th St_APTS,OMAHA_MDU_1410 N 45th St_APTS,StageName,Prospects,Closed Lost
006WR00000xwEwfYAE,OMAHA_MDU_1410 N 45th St_APTS,OMAHA_MDU_1410 N 45th St_APTS,Loss_Reason__c,,Other
006WR00000xw8eMYAQ,Omaha_MDU_Cherry Hill Apts,Omaha_MDU_Cherry Hill Apts,StageName,Prospects,Closed Lost
006WR00000xw8eMYAQ,Omaha_MDU_Cherry Hill Apts,Omaha_MDU_Cherry Hill Apts,Loss_Reason__c,,Other
006WR00000wkCjqYAE,Hillside Rows Apts,Omaha_MDU_Hillside Rows Apts,OwnerId,Bill Holick,005WR0000030R9lYAE
006WR00000wkF0KYAU,Aspen Grove,Omaha_MDU_Aspen Grove Apts,OwnerId,Jeff Chao,005WR0000030R9lYAE
006WR00000wkBTqYAM,Woodbridge Senior Living [Connect55+],Omaha_MDU_Woodbridge Senior Living,OwnerId,Bill Holick,005WR0000030R9lYAE
006WR00000xv9KmYAI,Omaha_MDU_Century House Apartments,Omaha_MDU_Century House Apartments,StageName,Prospects,Closed Lost
006WR00000xv9KmYAI,Omaha_MDU_Century House Apartments,Omaha_MDU_Century House Apartments,Loss_Reason__c,,Other
006WR00000xvNyrYAE,Omaha_MDU_4716 Cuming St,Omaha_MDU_4716 Cuming St,StageName,Closed Lost,Prospects
