Id,Name,StageName,Owner,Property_Address,Property_City,Property_State,Property_Zip,current_category,franchise_type,suggested_category,distance_ft,nearest_fiber_addr,nearest_fdh,via_optk,change_type,geocode_note
006WR00000wkDteYAE,Lakeside Estates,On Hold,Chuck McNeely,"2155 Tower Rd, Liberty Hill, TX, USA",Georgetown,TX,78642,Cat 3,In-Franchise,Cat 3,2460.2,133 NIGHT BLOOM PATH LIBERTY HILL TX 78642,FDH26,,no_change,"2155 TOWER RD, LIBERTY HILL, TX, 78642"
006WR00000wkDtfYAE,Leucadia Rocks,Prospects,Chuck McNeely,1076 N COAST HIGHWAY 101 UNIT 1 ENCINITAS CA 92024,Encinitas,CA,92024,Cat 1,In-Franchise,,,,,,geocode_failed,Tie
006WR00000wkDtgYAE,Encinitas Villas,Prospects,Chuck McNeely,760 ENCINITAS BLVD ENCINITAS CA 92024,Encinitas,CA,92024,Cat 1,In-Franchise,Cat 1,74.0,760 ENCINITAS BLVD UNIT 204 ENCINITAS CA 92024,FDH37,,no_change,"760 ENCINITAS BLVD, ENCINITAS, CA, 92024"
006WR00000wkDthYAE,El Rancho Del Sol Apartments,Prospects,Bill Holick,701 E MAIN ST UNIT 102 MESA AZ 85203,Mesa,AZ,85204,Cat 1,In-Franchise,Cat 1,95.1,701 E MAIN ST UNIT OFC MESA AZ 85203,FDH12,,no_change,"701 E MAIN ST, MESA, AZ, 85203"
006WR00000wkDtkYAE,Maple Place Apartments,Prospects,Chuck McNeely,2903 N 76TH ST  OMAHA NE 68134,Omaha,NE,68134,Cat 1,In-Franchise,Cat 1,51.2,2903 N 76TH ST UNIT 8 OMAHA NE 68134,FDH11,,no_change,"2903 N 76TH ST, OMAHA, NE, 68134"
006WR00000wkDtlYAE,350 E 5th Ave,Prospects,Brett Spivey,"350 E 5th Ave, Mesa, AZ 85210, USA",Mesa,AZ,85210,,In-Franchise,Cat 1,58.8,332 E 5TH AVE MESA AZ 85210,FDH08,,fill_blank,"350 E 5TH AVE, MESA, AZ, 85210"
006WR00000wkDtmYAE,Mariposa Apartments,On Hold,Brett Spivey,"1295 W 10th Ave, Denver, CO, USA",Denver,CO,80204,Cat 3,In-Franchise,Cat 3,2466002.5,18110 FISHERY RD GRETNA NE 68028,FDH01,Y,no_change,"1295 W 10TH AVE, DENVER, CO, 80204"
006WR00000wkDtpYAE,Casa Mesa Estates,On Hold,Chuck McNeely,"1251 S Mesa Dr, Mesa, AZ 85210, USA",Mesa,AZ,85210,Cat 1,In-Franchise,Cat 1,116.9,1231 S MESA DR MESA AZ 85210,FDH06,,no_change,"1251 S MESA DR, MESA, AZ, 85210"
006WR00000wkDtqYAE,Ellipse on Excelsior,On Hold,Chuck McNeely,"3920 Excelsior Blvd, St. Louis Park, MN, USA",Minneapolis,MN,55416,Cat 3,In-Franchise,Cat 3,1488059.6,3434 MCKINLEY ST OMAHA NE 68112,FDH22,,no_change,"3920 EXCELSIOR BLVD, MINNEAPOLIS, MN, 55416"
006WR00000wkDtrYAE,Indigo at Sunset Park,On Hold,Jeff Chao,"5272 Tamarus St, Las Vegas, NV, USA",Las Vegas,NV,89119,Cat 3,In-Franchise,Cat 3,1201920.0,8525 TOBIAS AVE UNIT 308 PANORAMA CITY CA 91402,FB03,,no_change,"5272 TAMARUS ST, LAS VEGAS, NV, 89119"
